child,parent,child_descriptor,parent_descriptor
R-HSA-5654219,R-HSA-162582,Phospholipase C-mediated cascade: FGFR1,Signal Transduction
R-HSA-5654221,R-HSA-162582,Phospholipase C-mediated cascade; FGFR2,Signal Transduction
R-HSA-5654227,R-HSA-162582,Phospholipase C-mediated cascade; FGFR3,Signal Transduction
R-HSA-5654228,R-HSA-162582,Phospholipase C-mediated cascade; FGFR4,Signal Transduction
R-HSA-5654687,R-HSA-162582,Downstream signaling of activated FGFR1,Signal Transduction
R-HSA-5654688,R-HSA-162582,SHC-mediated cascade:FGFR1,Signal Transduction
R-HSA-5654689,R-HSA-162582,PI-3K cascade:FGFR1,Signal Transduction
R-HSA-5654693,R-HSA-162582,FRS-mediated FGFR1 signaling,Signal Transduction
R-HSA-5654695,R-HSA-162582,PI-3K cascade:FGFR2,Signal Transduction
R-HSA-5654699,R-HSA-162582,SHC-mediated cascade:FGFR2,Signal Transduction
R-HSA-5654700,R-HSA-162582,FRS-mediated FGFR2 signaling,Signal Transduction
R-HSA-5654704,R-HSA-162582,SHC-mediated cascade:FGFR3,Signal Transduction
R-HSA-5654706,R-HSA-162582,FRS-mediated FGFR3 signaling,Signal Transduction
R-HSA-5654710,R-HSA-162582,PI-3K cascade:FGFR3,Signal Transduction
R-HSA-5654712,R-HSA-162582,FRS-mediated FGFR4 signaling,Signal Transduction
R-HSA-5654719,R-HSA-162582,SHC-mediated cascade:FGFR4,Signal Transduction
R-HSA-5654720,R-HSA-162582,PI-3K cascade:FGFR4,Signal Transduction
R-HSA-5654726,R-HSA-162582,Negative regulation of FGFR1 signaling,Signal Transduction
R-HSA-5654727,R-HSA-162582,Negative regulation of FGFR2 signaling,Signal Transduction
R-HSA-5654732,R-HSA-162582,Negative regulation of FGFR3 signaling,Signal Transduction
R-HSA-5654733,R-HSA-162582,Negative regulation of FGFR4 signaling,Signal Transduction
R-HSA-5655253,R-HSA-1643685,Signaling by FGFR2 in disease,Disease
R-HSA-5655291,R-HSA-1643685,Signaling by FGFR4 in disease,Disease
R-HSA-5655302,R-HSA-1643685,Signaling by FGFR1 in disease,Disease
R-HSA-5655799,R-HSA-1643685,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum),Disease
R-HSA-5655862,R-HSA-73894,Translesion synthesis by POLK,DNA Repair
R-HSA-5656121,R-HSA-73894,Translesion synthesis by POLI,DNA Repair
R-HSA-5656169,R-HSA-73894,Termination of translesion DNA synthesis,DNA Repair
R-HSA-5656364,R-HSA-1643685,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM),Disease
R-HSA-5657560,R-HSA-1643685,Hereditary fructose intolerance,Disease
R-HSA-5657562,R-HSA-1643685,Essential fructosuria,Disease
R-HSA-5657655,R-HSA-73894,MGMT-mediated DNA damage reversal,DNA Repair
R-HSA-5658034,R-HSA-1643685,HHAT G278V doesn't palmitoylate Hh-Np,Disease
R-HSA-5658208,R-HSA-1643685,Defective SLC5A2 causes renal glucosuria (GLYS1),Disease
R-HSA-5658442,R-HSA-162582,Regulation of RAS by GAPs,Signal Transduction
R-HSA-5658471,R-HSA-1643685,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Disease
R-HSA-5658623,R-HSA-162582,FGFRL1 modulation of FGFR1 signaling,Signal Transduction
R-HSA-5659729,R-HSA-1643685,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Disease
R-HSA-5659735,R-HSA-1643685,Defective SLC6A19 causes Hartnup disorder (HND),Disease
R-HSA-5659898,R-HSA-1643685,Intestinal saccharidase deficiencies,Disease
R-HSA-5659996,R-HSA-1643685,RPIA deficiency: failed conversion of R5P to RU5P,Disease
R-HSA-5660489,R-HSA-8953897,MTF1 activates gene expression,Cellular responses to external stimuli
R-HSA-5660668,R-HSA-168256,CLEC7A/inflammasome pathway,Immune System
R-HSA-5660686,R-HSA-1643685,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG),Disease
R-HSA-5660724,R-HSA-1643685,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Disease
R-HSA-5660862,R-HSA-1643685,Defective SLC7A7 causes lysinuric protein intolerance (LPI),Disease
R-HSA-5660883,R-HSA-1643685,Defective SLC7A9 causes cystinuria (CSNU),Disease
R-HSA-5661231,R-HSA-8953897,Metallothioneins bind metals,Cellular responses to external stimuli
R-HSA-5661270,R-HSA-1430728,Formation of xylulose-5-phosphate,Metabolism
R-HSA-5662702,R-HSA-1430728,Melanin biosynthesis,Metabolism
R-HSA-5662853,R-HSA-1643685,Essential pentosuria,Disease
R-HSA-5663020,R-HSA-1643685,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Disease
R-HSA-5663213,R-HSA-162582,RHO GTPases Activate WASPs and WAVEs,Signal Transduction
R-HSA-5663220,R-HSA-162582,RHO GTPases Activate Formins,Signal Transduction
R-HSA-5666185,R-HSA-162582,RHO GTPases Activate Rhotekin and Rhophilins,Signal Transduction
R-HSA-5668541,R-HSA-168256,TNFR2 non-canonical NF-kB pathway,Immune System
R-HSA-5668599,R-HSA-162582,RHO GTPases Activate NADPH Oxidases,Signal Transduction
R-HSA-5669034,R-HSA-168256,TNFs bind their physiological receptors,Immune System
R-HSA-5673000,R-HSA-162582,RAF activation,Signal Transduction
R-HSA-5673001,R-HSA-162582,RAF/MAP kinase cascade,Signal Transduction
R-HSA-5674135,R-HSA-162582,MAP2K and MAPK activation,Signal Transduction
R-HSA-5674400,R-HSA-1643685,Constitutive Signaling by AKT1 E17K in Cancer,Disease
R-HSA-5674404,R-HSA-1643685,PTEN Loss of Function in Cancer,Disease
R-HSA-5674499,R-HSA-162582,Negative feedback regulation of MAPK pathway,Signal Transduction
R-HSA-5675221,R-HSA-162582,Negative regulation of MAPK pathway,Signal Transduction
R-HSA-5675482,R-HSA-5357801,Regulation of necroptotic cell death,Programmed Cell Death
R-HSA-5676590,R-HSA-168256,NIK-->noncanonical NF-kB signaling,Immune System
R-HSA-5676594,R-HSA-168256,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,Immune System
R-HSA-5676934,R-HSA-392499,Protein repair,Metabolism of proteins
R-HSA-5678420,R-HSA-1643685,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",Disease
R-HSA-5678520,R-HSA-1643685,Defective ABCB11 causes PFIC2 and BRIC2,Disease
R-HSA-5678771,R-HSA-1643685,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",Disease
R-HSA-5678895,R-HSA-1643685,Defective CFTR causes cystic fibrosis,Disease
R-HSA-5679001,R-HSA-1643685,Defective ABCC2 causes DJS,Disease
R-HSA-5679090,R-HSA-1643685,Defective ABCG8 causes GBD4 and sitosterolemia,Disease
R-HSA-5679096,R-HSA-1643685,Defective ABCG5 causes sitosterolemia,Disease
R-HSA-5682113,R-HSA-1643685,Defective ABCA1 causes TGD,Disease
R-HSA-5682294,R-HSA-1643685,Defective ABCA12 causes ARCI4B,Disease
R-HSA-5682910,R-HSA-1266738,LGI-ADAM interactions,Developmental Biology
R-HSA-5683177,R-HSA-1643685,Defective ABCC8 can cause hypo- and hyper-glycemias,Disease
R-HSA-5683329,R-HSA-1643685,Defective ABCD4 causes MAHCJ,Disease
R-HSA-5683371,R-HSA-1643685,Defective ABCB6 causes MCOPCB7,Disease
R-HSA-5683678,R-HSA-1643685,Defective ABCA3 causes SMDP3,Disease
R-HSA-5683826,R-HSA-392499,Surfactant metabolism,Metabolism of proteins
R-HSA-5684045,R-HSA-1643685,Defective ABCD1 causes ALD,Disease
R-HSA-5684264,R-HSA-168256,MAP3K8 (TPL2)-dependent MAPK1/3 activation,Immune System
R-HSA-5685938,R-HSA-73894,HDR through Single Strand Annealing (SSA),DNA Repair
R-HSA-5685939,R-HSA-73894,HDR through MMEJ (alt-NHEJ),DNA Repair
R-HSA-5685942,R-HSA-73894,HDR through Homologous Recombination (HRR),DNA Repair
R-HSA-5686938,R-HSA-168256,Regulation of TLR by endogenous ligand,Immune System
R-HSA-5687128,R-HSA-162582,MAPK6/MAPK4 signaling,Signal Transduction
R-HSA-5687583,R-HSA-1643685,Defective SLC34A2 causes PALM,Disease
R-HSA-5687868,R-HSA-1643685,Defective SFTPA2 causes IPF,Disease
R-HSA-5688031,R-HSA-1643685,Defective pro-SFTPB causes SMDP1 and RDS,Disease
R-HSA-5688354,R-HSA-1643685,Defective pro-SFTPC causes SMDP2 and RDS,Disease
R-HSA-5688399,R-HSA-1643685,Defective ABCA3 causes SMDP3,Disease
R-HSA-5688849,R-HSA-1643685,Defective CSF2RB causes SMDP5,Disease
R-HSA-5688890,R-HSA-1643685,Defective CSF2RA causes SMDP4,Disease
R-HSA-5689603,R-HSA-392499,UCH proteinases,Metabolism of proteins
R-HSA-5689877,R-HSA-392499,Josephin domain DUBs,Metabolism of proteins
R-HSA-5689880,R-HSA-392499,Ub-specific processing proteases,Metabolism of proteins
R-HSA-5689896,R-HSA-392499,Ovarian tumor domain proteases,Metabolism of proteins
R-HSA-5689901,R-HSA-392499,Metalloprotease DUBs,Metabolism of proteins
R-HSA-5690338,R-HSA-1643685,Defective ABCC6 causes PXE,Disease
R-HSA-5690714,R-HSA-168256,CD22 mediated BCR regulation,Immune System
R-HSA-5693548,R-HSA-73894,Sensing of DNA Double Strand Breaks,DNA Repair
R-HSA-5693554,R-HSA-73894,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),DNA Repair
R-HSA-5693565,R-HSA-73894,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,DNA Repair
R-HSA-5693568,R-HSA-73894,Resolution of D-loop Structures through Holliday Junction Intermediates,DNA Repair
R-HSA-5693571,R-HSA-73894,Nonhomologous End-Joining (NHEJ),DNA Repair
R-HSA-5693579,R-HSA-73894,Homologous DNA Pairing and Strand Exchange,DNA Repair
R-HSA-5693607,R-HSA-73894,Processing of DNA double-strand break ends,DNA Repair
R-HSA-5693616,R-HSA-73894,Presynaptic phase of homologous DNA pairing and strand exchange,DNA Repair
R-HSA-5694530,R-HSA-5653656,Cargo concentration in the ER,Vesicle-mediated transport
R-HSA-5694530,R-HSA-392499,Cargo concentration in the ER,Metabolism of proteins
R-HSA-5696394,R-HSA-73894,DNA Damage Recognition in GG-NER,DNA Repair
R-HSA-5696395,R-HSA-73894,Formation of Incision Complex in GG-NER,DNA Repair
R-HSA-5696397,R-HSA-73894,Gap-filling DNA repair synthesis and ligation in GG-NER,DNA Repair
R-HSA-5696400,R-HSA-73894,Dual Incision in GG-NER,DNA Repair
R-HSA-606279,R-HSA-1640170,Deposition of new CENPA-containing nucleosomes at the centromere,Cell Cycle
R-HSA-611105,R-HSA-1430728,Respiratory electron transport,Metabolism
R-HSA-629587,R-HSA-112316,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,Neuronal System
R-HSA-629594,R-HSA-112316,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,Neuronal System
R-HSA-629597,R-HSA-112316,Highly calcium permeable nicotinic acetylcholine receptors,Neuronal System
R-HSA-674695,R-HSA-74160,RNA Polymerase II Pre-transcription Events,Gene expression (Transcription)
R-HSA-6781823,R-HSA-73894,Formation of TC-NER Pre-Incision Complex,DNA Repair
R-HSA-6781827,R-HSA-73894,Transcription-Coupled Nucleotide Excision Repair (TC-NER),DNA Repair
R-HSA-6782135,R-HSA-73894,Dual incision in TC-NER,DNA Repair
R-HSA-6782210,R-HSA-73894,Gap-filling DNA repair synthesis and ligation in TC-NER,DNA Repair
R-HSA-6782315,R-HSA-8953854,tRNA modification in the nucleus and cytosol,Metabolism of RNA
R-HSA-6782861,R-HSA-8953854,Synthesis of wybutosine at G37 of tRNA(Phe),Metabolism of RNA
R-HSA-6783310,R-HSA-73894,Fanconi Anemia Pathway,DNA Repair
R-HSA-6783783,R-HSA-168256,Interleukin-10 signaling,Immune System
R-HSA-6783984,R-HSA-1430728,Glycine degradation,Metabolism
R-HSA-6784531,R-HSA-8953854,tRNA processing in the nucleus,Metabolism of RNA
R-HSA-6785470,R-HSA-8953854,tRNA processing in the mitochondrion,Metabolism of RNA
R-HSA-6785631,R-HSA-162582,ERBB2 Regulates Cell Motility,Signal Transduction
R-HSA-6785807,R-HSA-168256,Interleukin-4 and Interleukin-13 signaling,Immune System
R-HSA-6787450,R-HSA-8953854,tRNA modification in the mitochondrion,Metabolism of RNA
R-HSA-6787639,R-HSA-392499,GDP-fucose biosynthesis,Metabolism of proteins
R-HSA-6788467,R-HSA-168256,IL-6-type cytokine receptor ligand interactions,Immune System
R-HSA-6790901,R-HSA-8953854,rRNA modification in the nucleus and cytosol,Metabolism of RNA
R-HSA-6791055,R-HSA-1643685,"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",Disease
R-HSA-6791226,R-HSA-8953854,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA
R-HSA-6791461,R-HSA-1643685,RPIA deficiency: failed conversion of RU5P to R5P,Disease
R-HSA-6791462,R-HSA-1643685,"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",Disease
R-HSA-6793080,R-HSA-8953854,rRNA modification in the mitochondrion,Metabolism of RNA
R-HSA-6794361,R-HSA-112316,Neurexins and neuroligins,Neuronal System
R-HSA-6796648,R-HSA-74160,TP53 Regulates Transcription of DNA Repair Genes,Gene expression (Transcription)
R-HSA-6798163,R-HSA-1430728,Choline catabolism,Metabolism
R-HSA-6798695,R-HSA-168256,Neutrophil degranulation,Immune System
R-HSA-6799198,R-HSA-1430728,Complex I biogenesis,Metabolism
R-HSA-6799990,R-HSA-168256,Metal sequestration by antimicrobial proteins,Immune System
R-HSA-6802946,R-HSA-1643685,Signaling by moderate kinase activity BRAF mutants,Disease
R-HSA-6802948,R-HSA-1643685,Signaling by high-kinase activity BRAF mutants,Disease
R-HSA-6802952,R-HSA-1643685,Signaling by BRAF and RAF fusions,Disease
R-HSA-6802953,R-HSA-1643685,RAS signaling downstream of NF1 loss-of-function variants,Disease
R-HSA-6802955,R-HSA-1643685,Paradoxical activation of RAF signaling by kinase inactive BRAF,Disease
R-HSA-6803157,R-HSA-168256,Antimicrobial peptides,Immune System
R-HSA-6803204,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Gene expression (Transcription)
R-HSA-6803205,R-HSA-74160,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Gene expression (Transcription)
R-HSA-6803207,R-HSA-74160,TP53 Regulates Transcription of Caspase Activators and Caspases,Gene expression (Transcription)
R-HSA-6803211,R-HSA-74160,TP53 Regulates Transcription of Death Receptors and Ligands,Gene expression (Transcription)
R-HSA-6803529,R-HSA-162582,FGFR2 alternative splicing,Signal Transduction
R-HSA-6803544,R-HSA-168256,Ion influx/efflux at host-pathogen interface,Immune System
R-HSA-6804114,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Gene expression (Transcription)
R-HSA-6804115,R-HSA-74160,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,Gene expression (Transcription)
R-HSA-6804116,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,Gene expression (Transcription)
R-HSA-6804754,R-HSA-74160,Regulation of TP53 Expression,Gene expression (Transcription)
R-HSA-6804756,R-HSA-74160,Regulation of TP53 Activity through Phosphorylation,Gene expression (Transcription)
R-HSA-6804757,R-HSA-74160,Regulation of TP53 Degradation,Gene expression (Transcription)
R-HSA-6804758,R-HSA-74160,Regulation of TP53 Activity through Acetylation,Gene expression (Transcription)
R-HSA-6804759,R-HSA-74160,Regulation of TP53 Activity through Association with Co-factors,Gene expression (Transcription)
R-HSA-6804760,R-HSA-74160,Regulation of TP53 Activity through Methylation,Gene expression (Transcription)
R-HSA-6805567,R-HSA-1266738,Keratinization,Developmental Biology
R-HSA-6806664,R-HSA-1430728,Metabolism of vitamin K,Metabolism
R-HSA-6806942,R-HSA-162582,MET Receptor Activation,Signal Transduction
R-HSA-6807004,R-HSA-162582,Negative regulation of MET activity,Signal Transduction
R-HSA-6807047,R-HSA-1430728,Cholesterol biosynthesis via desmosterol,Metabolism
R-HSA-6807062,R-HSA-1430728,Cholesterol biosynthesis via lathosterol,Metabolism
R-HSA-6807505,R-HSA-74160,RNA polymerase II transcribes snRNA genes,Gene expression (Transcription)
R-HSA-6807878,R-HSA-5653656,COPI-mediated anterograde transport,Vesicle-mediated transport
R-HSA-6807878,R-HSA-392499,COPI-mediated anterograde transport,Metabolism of proteins
R-HSA-6809371,R-HSA-1266738,Formation of the cornified envelope,Developmental Biology
R-HSA-6809583,R-HSA-1643685,Retinoid metabolism disease events,Disease
R-HSA-6811434,R-HSA-5653656,COPI-dependent Golgi-to-ER retrograde traffic,Vesicle-mediated transport
R-HSA-6811436,R-HSA-5653656,COPI-independent Golgi-to-ER retrograde traffic,Vesicle-mediated transport
R-HSA-6811438,R-HSA-5653656,Intra-Golgi traffic,Vesicle-mediated transport
R-HSA-6811440,R-HSA-5653656,Retrograde transport at the Trans-Golgi-Network,Vesicle-mediated transport
R-HSA-6811555,R-HSA-74160,PI5P Regulates TP53 Acetylation,Gene expression (Transcription)
R-HSA-6811558,R-HSA-162582,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",Signal Transduction
R-HSA-6814122,R-HSA-392499,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,Metabolism of proteins
R-HSA-6814848,R-HSA-1430728,Glycerophospholipid catabolism,Metabolism
R-HSA-68616,R-HSA-69306,Assembly of the ORC complex at the origin of replication,DNA Replication
R-HSA-68689,R-HSA-69306,CDC6 association with the ORC:origin complex,DNA Replication
R-HSA-68827,R-HSA-69306,CDT1 association with the CDC6:ORC:origin complex,DNA Replication
R-HSA-68867,R-HSA-69306,Assembly of the pre-replicative complex,DNA Replication
R-HSA-68875,R-HSA-1640170,Mitotic Prophase,Cell Cycle
R-HSA-68877,R-HSA-1640170,Mitotic Prometaphase,Cell Cycle
R-HSA-68881,R-HSA-1640170,Mitotic Metaphase/Anaphase Transition,Cell Cycle
R-HSA-68884,R-HSA-1640170,Mitotic Telophase/Cytokinesis,Cell Cycle
R-HSA-68911,R-HSA-1640170,G2 Phase,Cell Cycle
R-HSA-68949,R-HSA-69306,Orc1 removal from chromatin,DNA Replication
R-HSA-68949,R-HSA-1640170,Orc1 removal from chromatin,Cell Cycle
R-HSA-68952,R-HSA-69306,DNA replication initiation,DNA Replication
R-HSA-68952,R-HSA-1640170,DNA replication initiation,Cell Cycle
R-HSA-68962,R-HSA-69306,Activation of the pre-replicative complex,DNA Replication
R-HSA-68962,R-HSA-1640170,Activation of the pre-replicative complex,Cell Cycle
R-HSA-69017,R-HSA-69306,CDK-mediated phosphorylation and removal of Cdc6,DNA Replication
R-HSA-69017,R-HSA-1640170,CDK-mediated phosphorylation and removal of Cdc6,Cell Cycle
R-HSA-69052,R-HSA-69306,Switching of origins to a post-replicative state,DNA Replication
R-HSA-69052,R-HSA-1640170,Switching of origins to a post-replicative state,Cell Cycle
R-HSA-69091,R-HSA-69306,Polymerase switching,DNA Replication
R-HSA-69091,R-HSA-1640170,Polymerase switching,Cell Cycle
R-HSA-69166,R-HSA-69306,Removal of the Flap Intermediate,DNA Replication
R-HSA-69166,R-HSA-1640170,Removal of the Flap Intermediate,Cell Cycle
R-HSA-69183,R-HSA-69306,Processive synthesis on the lagging strand,DNA Replication
R-HSA-69183,R-HSA-1640170,Processive synthesis on the lagging strand,Cell Cycle
R-HSA-69200,R-HSA-1640170,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,Cell Cycle
R-HSA-69202,R-HSA-1640170,Cyclin E associated events during G1/S transition ,Cell Cycle
R-HSA-69205,R-HSA-1640170,G1/S-Specific Transcription,Cell Cycle
R-HSA-69231,R-HSA-1640170,Cyclin D associated events in G1,Cell Cycle
R-HSA-69273,R-HSA-1640170,Cyclin A/B1/B2 associated events during G2/M transition,Cell Cycle
R-HSA-69416,R-HSA-5357801,Dimerization of procaspase-8,Programmed Cell Death
R-HSA-69473,R-HSA-1640170,G2/M DNA damage checkpoint,Cell Cycle
R-HSA-69478,R-HSA-1640170,G2/M DNA replication checkpoint,Cell Cycle
R-HSA-69481,R-HSA-1640170,G2/M Checkpoints,Cell Cycle
R-HSA-69541,R-HSA-1640170,Stabilization of p53,Cell Cycle
R-HSA-69563,R-HSA-1640170,p53-Dependent G1 DNA Damage Response,Cell Cycle
R-HSA-69601,R-HSA-1640170,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,Cell Cycle
R-HSA-69656,R-HSA-1640170,Cyclin A:Cdk2-associated events at S phase entry,Cell Cycle
R-HSA-69895,R-HSA-1640170,Transcriptional  activation of  cell cycle inhibitor p21 ,Cell Cycle
R-HSA-70171,R-HSA-1430728,Glycolysis,Metabolism
R-HSA-70221,R-HSA-1430728,Glycogen breakdown (glycogenolysis),Metabolism
R-HSA-70263,R-HSA-1430728,Gluconeogenesis,Metabolism
R-HSA-70268,R-HSA-1430728,Pyruvate metabolism,Metabolism
R-HSA-70350,R-HSA-1430728,Fructose catabolism,Metabolism
R-HSA-70370,R-HSA-1430728,Galactose catabolism,Metabolism
R-HSA-70635,R-HSA-1430728,Urea cycle,Metabolism
R-HSA-70688,R-HSA-1430728,Proline catabolism,Metabolism
R-HSA-70895,R-HSA-1430728,Branched-chain amino acid catabolism,Metabolism
R-HSA-70921,R-HSA-1430728,Histidine catabolism,Metabolism
R-HSA-71032,R-HSA-1430728,Propionyl-CoA catabolism,Metabolism
R-HSA-71064,R-HSA-1430728,Lysine catabolism,Metabolism
R-HSA-71240,R-HSA-1430728,Tryptophan catabolism,Metabolism
R-HSA-71262,R-HSA-1430728,Carnitine synthesis,Metabolism
R-HSA-71288,R-HSA-1430728,Creatine metabolism,Metabolism
R-HSA-71336,R-HSA-1430728,Pentose phosphate pathway,Metabolism
R-HSA-71384,R-HSA-1430728,Ethanol oxidation,Metabolism
R-HSA-71403,R-HSA-1430728,Citric acid cycle (TCA cycle),Metabolism
R-HSA-71737,R-HSA-1430728,Pyrophosphate hydrolysis,Metabolism
R-HSA-72086,R-HSA-8953854,mRNA Capping,Metabolism of RNA
R-HSA-72163,R-HSA-8953854,mRNA Splicing - Major Pathway,Metabolism of RNA
R-HSA-72165,R-HSA-8953854,mRNA Splicing - Minor Pathway,Metabolism of RNA
R-HSA-72187,R-HSA-8953854,mRNA 3'-end processing,Metabolism of RNA
R-HSA-72200,R-HSA-8953854,mRNA Editing: C to U Conversion,Metabolism of RNA
R-HSA-72203,R-HSA-8953854,Processing of Capped Intron-Containing Pre-mRNA,Metabolism of RNA
R-HSA-72649,R-HSA-392499,Translation initiation complex formation,Metabolism of proteins
R-HSA-72662,R-HSA-392499,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Metabolism of proteins
R-HSA-72689,R-HSA-392499,Formation of a pool of free 40S subunits,Metabolism of proteins
R-HSA-72695,R-HSA-392499,"Formation of the ternary complex, and subsequently, the 43S complex",Metabolism of proteins
R-HSA-72702,R-HSA-392499,Ribosomal scanning and start codon recognition,Metabolism of proteins
R-HSA-72706,R-HSA-392499,GTP hydrolysis and joining of the 60S ribosomal subunit,Metabolism of proteins
R-HSA-72731,R-HSA-392499,Recycling of eIF2:GDP,Metabolism of proteins
R-HSA-72764,R-HSA-392499,Eukaryotic Translation Termination,Metabolism of proteins
R-HSA-727802,R-HSA-382551,Transport of nucleotide sugars,Transport of small molecules
R-HSA-73614,R-HSA-1430728,Pyrimidine salvage,Metabolism
R-HSA-73621,R-HSA-1430728,Pyrimidine catabolism,Metabolism
R-HSA-73728,R-HSA-74160,RNA Polymerase I Promoter Opening,Gene expression (Transcription)
R-HSA-73762,R-HSA-74160,RNA Polymerase I Transcription Initiation,Gene expression (Transcription)
R-HSA-73772,R-HSA-74160,RNA Polymerase I Promoter Escape,Gene expression (Transcription)
R-HSA-73776,R-HSA-74160,RNA Polymerase II Promoter Escape,Gene expression (Transcription)
R-HSA-73779,R-HSA-74160,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,Gene expression (Transcription)
R-HSA-73780,R-HSA-74160,RNA Polymerase III Chain Elongation,Gene expression (Transcription)
R-HSA-73817,R-HSA-1430728,Purine ribonucleoside monophosphate biosynthesis,Metabolism
R-HSA-73843,R-HSA-1430728,5-Phosphoribose 1-diphosphate biosynthesis,Metabolism
R-HSA-73856,R-HSA-74160,RNA Polymerase II Transcription Termination,Gene expression (Transcription)
R-HSA-73863,R-HSA-74160,RNA Polymerase I Transcription Termination,Gene expression (Transcription)
R-HSA-73930,R-HSA-73894,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,DNA Repair
R-HSA-73933,R-HSA-73894,Resolution of Abasic Sites (AP sites),DNA Repair
R-HSA-73943,R-HSA-73894,Reversal of alkylation damage by DNA dioxygenases,DNA Repair
R-HSA-73980,R-HSA-74160,RNA Polymerase III Transcription Termination,Gene expression (Transcription)
R-HSA-74217,R-HSA-1430728,Purine salvage,Metabolism
R-HSA-74259,R-HSA-1430728,Purine catabolism,Metabolism
R-HSA-74713,R-HSA-162582,IRS activation,Signal Transduction
R-HSA-74749,R-HSA-162582,Signal attenuation,Signal Transduction
R-HSA-74751,R-HSA-162582,Insulin receptor signalling cascade,Signal Transduction
R-HSA-74752,R-HSA-162582,Signaling by Insulin receptor,Signal Transduction
R-HSA-749476,R-HSA-74160,RNA Polymerase III Abortive And Retractive Initiation,Gene expression (Transcription)
R-HSA-75035,R-HSA-1640170,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,Cell Cycle
R-HSA-75094,R-HSA-8953854,Formation of the Editosome,Metabolism of RNA
R-HSA-75102,R-HSA-8953854,C6 deamination of adenosine,Metabolism of RNA
R-HSA-75105,R-HSA-1430728,Fatty acyl-CoA biosynthesis,Metabolism
R-HSA-75108,R-HSA-5357801,"Activation, myristolyation of BID and translocation to mitochondria",Programmed Cell Death
R-HSA-75109,R-HSA-1430728,Triglyceride biosynthesis,Metabolism
R-HSA-75153,R-HSA-5357801,Apoptotic execution phase,Programmed Cell Death
R-HSA-75157,R-HSA-162582,FasL/ CD95L signaling,Signal Transduction
R-HSA-75158,R-HSA-162582,TRAIL  signaling,Signal Transduction
R-HSA-75205,R-HSA-109582,Dissolution of Fibrin Clot,Hemostasis
R-HSA-75815,R-HSA-1640170,Ubiquitin-dependent degradation of Cyclin D,Cell Cycle
R-HSA-75876,R-HSA-1430728,Synthesis of very long-chain fatty acyl-CoAs,Metabolism
R-HSA-75892,R-HSA-109582,Platelet Adhesion to exposed collagen,Hemostasis
R-HSA-75893,R-HSA-162582,TNF signaling,Signal Transduction
R-HSA-75896,R-HSA-1430728,Plasmalogen biosynthesis,Metabolism
R-HSA-75953,R-HSA-74160,RNA Polymerase II Transcription Initiation,Gene expression (Transcription)
R-HSA-75955,R-HSA-74160,RNA Polymerase II Transcription Elongation,Gene expression (Transcription)
R-HSA-76005,R-HSA-109582,Response to elevated platelet cytosolic Ca2+,Hemostasis
R-HSA-76009,R-HSA-109582,Platelet Aggregation (Plug Formation),Hemostasis
R-HSA-76042,R-HSA-74160,RNA Polymerase II Transcription Initiation And Promoter Clearance,Gene expression (Transcription)
R-HSA-76061,R-HSA-74160,RNA Polymerase III Transcription Initiation From Type 1 Promoter,Gene expression (Transcription)
R-HSA-76066,R-HSA-74160,RNA Polymerase III Transcription Initiation From Type 2 Promoter,Gene expression (Transcription)
R-HSA-76071,R-HSA-74160,RNA Polymerase III Transcription Initiation From Type 3 Promoter,Gene expression (Transcription)
